Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
2,0,0,2,2010,935183.5512,144529.9361,FUTURITY PLACE,ARTHUR KILL ROAD
1,1,0,0,2010,937239.5245,131164.2942,LIPSETT AVENUE,HYLAN BOULEVARD
1,1,0,0,2010,938034.8247,138726.2055,RICHMOND AVENUE,BARTLETT AVENUE
1,1,0,0,2010,939713.6963,161486.2371,MORANI STREET,RICHMOND AVENUE
1,1,0,0,2010,946351.9865,170049.8319,PORT RICHMOND AVENUE,PALMER AVENUE
1,1,0,0,2010,946925.8962,172578.2815,RICHMOND TERRACE,NORTH STREET
1,1,0,0,2010,947737.4989,172602.7467,RICHMOND TERRACE,PORT RICHMOND AVENUE
1,1,0,0,2010,951781.8376,162322.7512,WINDSOR ROAD,SLOSSON AVENUE
1,1,0,0,2010,953911.6135,168835.9399,PELTON AVENUE,FOREST AVENUE
1,1,0,0,2010,957953.6818,172740.3317,HENDERSON AVENUE,LAFAYETTE AVENUE
1,0,1,0,2010,960047.7131,172419.5614,HENDRICKS AVENUE,JERSEY STREET
1,1,0,0,2010,960774.5423,165100.3109,LAUREL AVENUE,TARGEE STREET
1,1,0,0,2010,961685.0523,172726.4075,HENDRICKS AVENUE,SHERMAN AVENUE
2,0,0,2,2010,962464.867,157330.6057,KENSINGTON AVENUE,STEUBEN STREET
1,1,0,0,2010,962886.0112,165226.9806,VANDERBILT AVENUE,TOMPKINS AVENUE
1,0,0,1,2010,963106.7916,171202.1983,BAY STREET,MINTHORNE STREET
1,1,0,0,2010,979458.3728,167079.2965,76 STREET,FT HAMILTON PARKWAY
1,0,0,1,2010,980998.2319,162512.4979,14 AVENUE,86 STREET
1,0,0,1,2010,981208.6055,203812.8667,HOLLAND TUNNEL ENTRANCE,WEST STREET
1,1,0,0,2010,981370.4884,205971.573,BARROW STREET,WEST STREET
1,1,0,0,2010,981481.0951,197877.997,BROADWAY,CORTLANDT STREET
1,1,0,0,2010,981690.9795,164642.7072,78 STREET,13 AVENUE
1,1,0,0,2010,981817.8329,163547.3777,14 AVENUE,81 STREET
1,0,0,1,2010,982044.8272,211361.1357,11 AVENUE,WEST 20 STREET
1,1,0,0,2010,982188.2656,165269.8119,BAY RIDGE PARKWAY,13 AVENUE
1,1,0,0,2010,982430.65,168088.2511,11 AVENUE,66 STREET
1,1,0,0,2010,984602.7716,185739.4914,NELSON STREET,COURT STREET
1,1,0,0,2010,985666.0766,183663.5379,2 AVENUE,12 STREET
1,0,0,1,2010,985763.7535,182374.8525,16 STREET,3 AVENUE
1,1,0,0,2010,986437.1839,170633.3737,49 STREET,13 AVENUE
1,1,0,0,2010,986887.4291,173598.6699,FT HAMILTON PARKWAY,39 STREET
1,1,0,0,2010,987030.1355,198912.9392,RUTGERS STREET,MADISON STREET
1,0,1,0,2010,987296.1291,201153.3087,DELANCEY STREET,LUDLOW STREET
1,1,0,0,2010,987520.5217,201065.9532,DELANCEY STREET,ESSEX STREET
1,0,0,1,2010,987653.5857,221766.4066,WEST 65 STREET,WEST END AVENUE
1,1,0,0,2010,987867.4599,201950.3511,STANTON STREET,ESSEX STREET
1,1,0,0,2010,987939.8253,152250.7733,AVENUE Z,BELT PARKWAY EXIT 6 NORTH WB
1,1,0,0,2010,988175.7074,163892.2622,65 STREET,20 AVENUE
1,1,0,0,2010,988291.5142,186415.6974,UNION STREET,3 AVENUE
1,0,0,1,2010,988457.3669,189543.6571,ATLANTIC AVENUE,BOND STREET
1,0,0,1,2010,988784.5316,163405.4291,65 STREET,21 AVENUE
1,1,0,0,2010,988857.5597,218368.1293,8 AVENUE,WEST 56 STREET
1,0,0,1,2010,988939.4591,189005.2132,NEVINS STREET,PACIFIC STREET
1,1,0,0,2010,989213.2545,222698.1403,WEST 71 STREET,BROADWAY
1,1,0,0,2010,989219.6554,223012.6967,BROADWAY,WEST 72 STREET
1,1,0,0,2010,989541.5741,208109.0064,2 AVENUE,EAST 23 STREET
1,1,0,0,2010,989752.6497,161747.4469,WEST 6 STREET,AVENUE O
1,1,0,0,2010,989803.3846,210046.9586,EAST 30 STREET,3 AVENUE
1,1,0,0,2010,990139.5551,166370.3674,53 STREET,20 AVENUE
1,0,0,1,2010,990398.8099,191915.4371,ST EDWARDS STREET,MYRTLE AVENUE
1,1,0,0,2010,990886.2367,213047.9401,EAST 42 STREET,LEXINGTON AVENUE
1,1,0,0,2010,991292.9846,227402.8615,BROADWAY,WEST 90 STREET
1,0,0,1,2010,991392.1639,153760.0127,BOUCK COURT,SHELL ROAD
1,0,1,0,2010,991591.4945,213275.3182,EAST 44 STREET,3 AVENUE
1,1,0,0,2010,991906.53,169894.3049,OCEAN PARKWAY,18 AVENUE
1,1,0,0,2010,992196.7131,162100.9275,EAST 3 STREET,AVENUE O
1,1,0,0,2010,992853.966,227434.5888,COLUMBUS AVENUE,WEST 93 STREET
